PVWatts: Hourly PV Performance Data,,,,,,,,,,
Requested Location:,North Philadelphia East,,,,,,,,,
Location:,"Lat, Lon: 40.01, -75.14",,,,,,,,,
Lat (deg N):,40.01,,,,,,,,,
Long (deg W):,75.14,,,,,,,,,
Elev (m):,44.72000122,,,,,,,,,
DC System Size (kW):,4,,,,,,,,,
Module Type:,Standard,,,,,,,,,
Array Type:,Fixed (roof mount),,,,,,,,,
Array Tilt (deg):,20,,,,,,,,,
Array Azimuth (deg):,180,,,,,,,,,
System Losses:,14.08,,,,,,,,,
Invert Efficiency:,96,,,,,,,,,
DC to AC Size Ratio:,1.2,,,,,,,,,
Average Cost of Electricity Purchased from Utility ($/kWh):,0.129,,,,,,,,,
Capacity Factor (%),"15.1	",,,,,,,,,
,,,,,,,,,,
Month,Day,Hour,Beam Irradiance (W/m^2),Diffuse Irradiance (W/m^2),Ambient Temperature (C),Wind Speed (m/s),Plane of Array Irradiance (W/m^2),Cell Temperature (C),DC Array Output (W),AC System Output (W)
1,1,0,0,0,0,1,0,0,0,0
1,1,1,0,0,0,1,0,0,0,0
1,1,2,0,0,0,1,0,0,0,0
1,1,3,0,0,1,1,0,1,0,0
1,1,4,0,0,2,2,0,2,0,0
1,1,5,0,0,2,2,0,2,0,0
1,1,6,0,0,3,3,0,3,0,0
1,1,7,0,0,3,3,0,3,0,0
1,1,8,0,9,5,3,8.513,2.989,32.284,11.291
1,1,9,0,27,6,3,25.584,4.533,96.386,74.202
1,1,10,331,152,7,3,399.367,16.226,1415.288,1360.117
1,1,11,24,172,7,3,191.271,11.838,697.357,662.148
1,1,12,177,198,8,3,353.472,16.574,1258.247,1207.852
1,1,13,0,20,7,4,18.954,6.654,70.757,49.054
1,1,14,770,65,6,3,523.883,18.666,1799.351,1731.535
1,1,15,586,51,4,2,312.252,14.162,1045.382,1001.094
1,1,16,151,15,2,2,62.86,3.133,204.204,179.93
1,1,17,0,0,2,2,0,2,0,0
1,1,18,0,0,2,3,0,2,0,0
1,1,19,0,0,1,3,0,1,0,0
1,1,20,0,0,0,3,0,0,0,0
1,1,21,0,0,0,3,0,0,0,0
1,1,22,0,0,0,3,0,0,0,0
1,1,23,0,0,0,3,0,0,0,0
1,2,0,0,0,0,3,0,0,0,0
1,2,1,0,0,0,3,0,0,0,0
1,2,2,0,0,-1,2,0,-1,0,0
1,2,3,0,0,-1,2,0,-1,0,0
1,2,4,0,0,-1,3,0,-1,0,0
1,2,5,0,0,-1,2,0,-1,0,0
1,2,6,0,0,-2,2,0,-2,0,0
1,2,7,0,0,-1,2,0,-1,0,0
1,2,8,0,58,-1,3,58.703,-1.619,226.992,202.263
1,2,9,283,112,-1,4,288.295,4.612,1062.12,1017.367
1,2,10,180,169,0,4,310.663,6.92,1150.578,1103.325
1,2,11,692,129,0,4,670.308,16.154,2380.692,2291.127
1,2,12,782,104,0,5,711.359,15.996,2527.742,2432.177
1,2,13,826,80,0,5,666.317,15.08,2365.023,2276.085
1,2,14,787,64,-1,5,533.933,10.988,1898.544,1827.239
1,2,15,653,46,-2,4,332.531,6.259,1149.141,1101.929
1,2,16,251,14,-3,4,85.941,-1.737,274.808,249.107
1,2,17,0,0,-4,4,0,-4,0,0
1,2,18,0,0,-5,4,0,-5,0,0
1,2,19,0,0,-6,4,0,-6,0,0
1,2,20,0,0,-6,4,0,-6,0,0
1,2,21,0,0,-7,3,0,-7,0,0
1,2,22,0,0,-7,3,0,-7,0,0
1,2,23,0,0,-7,3,0,-7,0,0
1,3,0,0,0,-7,3,0,-7,0,0
1,3,1,0,0,-7,3,0,-7,0,0
1,3,2,0,0,-7,3,0,-7,0,0
1,3,3,0,0,-7,3,0,-7,0,0
1,3,4,0,0,-7,3,0,-7,0,0
1,3,5,0,0,-6,3,0,-6,0,0
1,3,6,0,0,-6,3,0,-6,0,0
1,3,7,0,0,-6,4,0,-6,0,0
1,3,8,632,42,-6,4,300.235,-0.274,1050.678,1006.244
1,3,9,815,58,-6,4,524.35,6.435,1891.764,1820.7
1,3,10,901,64,-5,4,681,12.114,2443.942,2351.82
1,3,11,933,68,-4,4,766.338,15.744,2723.091,2619.246
1,3,12,934,68,-4,3,771.942,18.554,2709.403,2606.149
1,3,13,923,60,-4,3,704.726,16.751,2481.097,2387.457
1,3,14,855,54,-4,3,558.772,12.492,1972.051,1898.101
1,3,15,706,42,-5,2,351.689,6.817,1211.005,1162.001
1,3,16,320,14,-6,1,103.632,-2.157,328.074,301.266
1,3,17,0,0,-7,1,0,-7,0,0
1,3,18,0,0,-8,1,0,-8,0,0
1,3,19,0,0,-8,0,0,-8,0,0
1,3,20,0,0,-8,0,0,-8,0,0
1,3,21,0,0,-8,0,0,-8,0,0
1,3,22,0,0,-8,0,0,-8,0,0
1,3,23,0,0,-8,0,0,-8,0,0
1,4,0,0,0,-9,0,0,-9,0,0
1,4,1,0,0,-9,0,0,-9,0,0
1,4,2,0,0,-9,0,0,-9,0,0
1,4,3,0,0,-9,0,0,-9,0,0
1,4,4,0,0,-9,1,0,-9,0,0
1,4,5,0,0,-9,1,0,-9,0,0
1,4,6,0,0,-9,1,0,-9,0,0
1,4,7,0,0,-7,1,0,-7,0,0
1,4,8,584,44,-5,2,286.834,1.752,998.316,955.322
1,4,9,773,60,-2,2,503.697,13.081,1765.831,1699.173
1,4,10,868,67,0,3,667.818,18.579,2328.71,2241.218
1,4,11,904,70,0,3,748.541,21.376,2592.735,2494.455
1,4,12,908,70,1,3,756.608,22.844,2604.043,2505.286
1,4,13,867,69,2,3,684.209,21.883,2354.379,2265.865
1,4,14,328,117,1,2,326.747,12.493,1165.735,1118.046
1,4,15,0,67,0,1,67.434,2.136,256.662,231.332
1,4,16,187,16,0,1,74.064,0.168,241.749,216.722
1,4,17,0,0,-1,1,0,-1,0,0
1,4,18,0,0,-1,1,0,-1,0,0
1,4,19,0,0,-1,1,0,-1,0,0
1,4,20,0,0,-1,1,0,-1,0,0
1,4,21,0,0,-2,1,0,-2,0,0
1,4,22,0,0,-2,1,0,-2,0,0
1,4,23,0,0,-3,1,0,-3,0,0
1,5,0,0,0,-3,1,0,-3,0,0
1,5,1,0,0,-4,1,0,-4,0,0
1,5,2,0,0,-4,1,0,-4,0,0
1,5,3,0,0,-5,0,0,-5,0,0
1,5,4,0,0,-5,0,0,-5,0,0
1,5,5,0,0,-5,0,0,-5,0,0
1,5,6,0,0,-5,0,0,-5,0,0
1,5,7,0,0,-4,0,0,-4,0,0
1,5,8,518,49,-1,1,266.893,6.153,915.55,874.781
1,5,9,402,99,0,1,345.912,12.158,1228.085,1178.581
1,5,10,238,165,2,1,353.533,14.958,1262.451,1211.931
1,5,11,506,145,3,1,551.163,22.952,1899.416,1828.08
1,5,12,251,194,2,1,413.836,18.561,1459.008,1402.467
1,5,13,21,158,2,0,173.905,12.778,631.223,597.611
1,5,14,86,133,1,0,192.511,9.469,703.809,668.442
1,5,15,46,74,0,0,98.882,4.317,366.333,338.713
1,5,16,0,12,0,0,11.363,-2.727,44.142,22.932
1,5,17,0,0,0,0,0,0,0,0
1,5,18,0,0,0,1,0,0,0,0
1,5,19,0,0,0,1,0,0,0,0
1,5,20,0,0,0,1,0,0,0,0
1,5,21,0,0,0,1,0,0,0,0
1,5,22,0,0,0,0,0,0,0,0
1,5,23,0,0,0,0,0,0,0,0
1,6,0,0,0,0,0,0,0,0,0
1,6,1,0,0,0,1,0,0,0,0
1,6,2,0,0,0,1,0,0,0,0
1,6,3,0,0,0,1,0,0,0,0
1,6,4,0,0,0,1,0,0,0,0
1,6,5,0,0,0,1,0,0,0,0
1,6,6,0,0,0,1,0,0,0,0
1,6,7,0,0,0,1,0,0,0,0
1,6,8,0,25,2,1,23.688,-0.412,91.134,69.049
1,6,9,55,120,4,1,158.766,7.159,586.86,554.298
1,6,10,274,168,6,1,381.09,18.5,1338.548,1285.74
1,6,11,103,202,7,1,293.887,17.92,1040.946,996.781
1,6,12,746,97,8,1,680.94,31.74,2248.723,2164.371
1,6,13,180,179,8,1,325.463,22.088,1127.475,1080.882
1,6,14,671,74,7,0,488.255,29.226,1601.673,1540.537
1,6,15,514,55,4,0,293.234,20.472,961.797,919.792
1,6,16,118,17,2,1,56.265,3.436,186.595,162.67
1,6,17,0,0,1,1,0,1,0,0
1,6,18,0,0,1,1,0,1,0,0
1,6,19,0,0,1,0,0,1,0,0
1,6,20,0,0,1,0,0,1,0,0
1,6,21,0,0,1,0,0,1,0,0
1,6,22,0,0,1,0,0,1,0,0
1,6,23,0,0,1,0,0,1,0,0
1,7,0,0,0,1,0,0,1,0,0
1,7,1,0,0,1,0,0,1,0,0
1,7,2,0,0,1,0,0,1,0,0
1,7,3,0,0,1,0,0,1,0,0
1,7,4,0,0,1,0,0,1,0,0
1,7,5,0,0,1,0,0,1,0,0
1,7,6,0,0,1,1,0,1,0,0
1,7,7,0,0,1,1,0,1,0,0
1,7,8,0,27,2,1,25.588,-0.332,98.413,76.19
1,7,9,0,68,4,1,65.066,3.479,246.239,221.121
1,7,10,167,172,6,1,305.54,15.054,1092.267,1046.67
1,7,11,751,92,9,1,674.374,32.535,2217.423,2134.283
1,7,12,770,89,12,1,686.938,37.968,2199.773,2117.313
1,7,13,719,90,13,1,615.517,36.666,1975.95,1901.859
1,7,14,649,78,12,0,481.719,36.299,1527.91,1469.173
1,7,15,504,56,9,0,291.37,25.093,936.802,895.468
1,7,16,129,18,7,1,60.667,8.59,196.424,172.305
1,7,17,0,0,7,1,0,7,0,0
1,7,18,0,0,7,1,0,7,0,0
1,7,19,0,0,7,1,0,7,0,0
1,7,20,0,0,6,1,0,6,0,0
1,7,21,0,0,6,1,0,6,0,0
1,7,22,0,0,6,1,0,6,0,0
1,7,23,0,0,6,1,0,6,0,0
1,8,0,0,0,6,1,0,6,0,0
1,8,1,0,0,5,1,0,5,0,0
1,8,2,0,0,5,1,0,5,0,0
1,8,3,0,0,5,1,0,5,0,0
1,8,4,0,0,5,1,0,5,0,0
1,8,5,0,0,5,1,0,5,0,0
1,8,6,0,0,5,1,0,5,0,0
1,8,7,0,0,7,1,0,7,0,0
1,8,8,178,62,9,2,144.819,11.17,502.118,471.508
1,8,9,354,106,11,2,327.888,19.691,1127.437,1080.844
1,8,10,447,136,13,2,468.497,26.834,1578.852,1518.464
1,8,11,402,170,14,3,505.392,27.689,1705.113,1640.527
1,8,12,343,184,15,3,470.647,27.869,1587.76,1527.081
1,8,13,696,101,16,3,614.043,32.565,2012.448,1937.024
1,8,14,630,86,15,2,481.301,30.469,1572.399,1512.221
1,8,15,252,73,14,2,203.064,20.448,680.344,645.55
1,8,16,0,20,12,2,19.1,11.228,69.892,48.205
1,8,17,0,0,12,2,0,12,0,0
1,8,18,0,0,12,3,0,12,0,0
1,8,19,0,0,11,2,0,11,0,0
1,8,20,0,0,10,2,0,10,0,0
1,8,21,0,0,10,2,0,10,0,0
1,8,22,0,0,10,3,0,10,0,0
1,8,23,0,0,11,3,0,11,0,0
1,9,0,0,0,11,4,0,11,0,0
1,9,1,0,0,11,3,0,11,0,0
1,9,2,0,0,11,3,0,11,0,0
1,9,3,0,0,11,3,0,11,0,0
1,9,4,0,0,11,3,0,11,0,0
1,9,5,0,0,12,4,0,12,0,0
1,9,6,0,0,12,5,0,12,0,0
1,9,7,0,0,12,5,0,12,0,0
1,9,8,0,44,13,5,42.399,12.334,154.393,131.098
1,9,9,0,83,14,5,80.839,14.328,291.762,265.712
1,9,10,423,141,15,5,458.561,23.993,1566.85,1506.853
1,9,11,889,69,14,5,741.448,30.208,2464.492,2371.532
1,9,12,900,70,13,4,757.828,32.413,2493.65,2399.494
1,9,13,884,67,12,4,697.079,30.005,2310.384,2223.615
1,9,14,829,59,11,3,564.796,27.158,1869.622,1799.344
1,9,15,682,47,9,1,357.235,23.376,1151.219,1103.947
1,9,16,297,19,7,1,107.721,10.891,330.769,303.904
1,9,17,0,0,5,1,0,5,0,0
1,9,18,0,0,4,1,0,4,0,0
1,9,19,0,0,4,1,0,4,0,0
1,9,20,0,0,3,1,0,3,0,0
1,9,21,0,0,2,1,0,2,0,0
1,9,22,0,0,2,1,0,2,0,0
1,9,23,0,0,2,1,0,2,0,0
1,10,0,0,0,1,1,0,1,0,0
1,10,1,0,0,1,1,0,1,0,0
1,10,2,0,0,0,1,0,0,0,0
1,10,3,0,0,0,1,0,0,0,0
1,10,4,0,0,0,1,0,0,0,0
1,10,5,0,0,0,0,0,0,0,0
1,10,6,0,0,0,0,0,0,0,0
1,10,7,0,0,1,0,0,1,0,0
1,10,8,43,63,3,0,84.192,2.17,313.381,286.881
1,10,9,370,105,5,0,335.608,18.431,1160.178,1112.649
1,10,10,612,103,7,0,545.616,31.471,1795.114,1727.445
1,10,11,517,147,8,0,564.422,34.978,1836.84,1767.716
1,10,12,436,168,9,0,532.906,34.937,1736.469,1670.817
1,10,13,57,177,8,0,229.201,22.213,796.125,758.454
1,10,14,0,99,7,0,97.161,11.824,354.601,327.232
1,10,15,0,67,6,0,66.444,6.867,247.817,222.667
1,10,16,0,12,5,0,11.361,1.676,43.327,22.131
1,10,17,0,0,5,0,0,5,0,0
1,10,18,0,0,4,0,0,4,0,0
1,10,19,0,0,4,1,0,4,0,0
1,10,20,0,0,4,1,0,4,0,0
1,10,21,0,0,5,1,0,5,0,0
1,10,22,0,0,5,1,0,5,0,0
1,10,23,0,0,5,2,0,5,0,0
1,11,0,0,0,5,2,0,5,0,0
1,11,1,0,0,5,2,0,5,0,0
1,11,2,0,0,5,2,0,5,0,0
1,11,3,0,0,6,2,0,6,0,0
1,11,4,0,0,6,2,0,6,0,0
1,11,5,0,0,8,2,0,8,0,0
1,11,6,0,0,9,2,0,9,0,0
1,11,7,0,0,9,2,0,9,0,0
1,11,8,0,13,10,2,12.302,7.899,45.677,24.438
1,11,9,0,48,11,3,45.543,10.208,167.402,143.854
1,11,10,0,76,12,4,72.213,12.115,263.211,237.748
1,11,11,0,55,13,4,52.218,12.7,189.838,165.849
1,11,12,0,89,14,4,84.924,14.497,306.274,279.922
1,11,13,0,46,13,3,43.651,12.479,158.847,135.465
1,11,14,10,124,12,2,130.474,13.98,470.99,441.081
1,11,15,206,79,10,1,185.126,15.057,639.533,605.722
1,11,16,275,20,7,0,104.195,11.351,322.105,295.422
1,11,17,0,0,5,0,0,5,0,0
1,11,18,0,0,5,0,0,5,0,0
1,11,19,0,0,5,0,0,5,0,0
1,11,20,0,0,5,0,0,5,0,0
1,11,21,0,0,5,0,0,5,0,0
1,11,22,0,0,4,1,0,4,0,0
1,11,23,0,0,4,1,0,4,0,0
1,12,0,0,0,3,1,0,3,0,0
1,12,1,0,0,3,1,0,3,0,0
1,12,2,0,0,3,1,0,3,0,0
1,12,3,0,0,2,1,0,2,0,0
1,12,4,0,0,1,1,0,1,0,0
1,12,5,0,0,1,1,0,1,0,0
1,12,6,0,0,1,1,0,1,0,0
1,12,7,0,0,2,1,0,2,0,0
1,12,8,503,51,4,1,262.77,10.975,883.668,843.739
1,12,9,691,73,6,2,478.338,19.966,1629.667,1567.606
1,12,10,572,114,7,2,532.266,23.6,1819.302,1750.792
1,12,11,831,87,8,2,729.439,30.663,2420.993,2329.803
1,12,12,385,181,8,2,500.422,24.776,1713.136,1648.278
1,12,13,643,104,8,1,586.679,29.858,1950.126,1876.971
1,12,14,369,122,7,1,371.034,22.088,1269.925,1219.183
1,12,15,408,65,6,0,263.589,19.842,877.129,837.371
1,12,16,145,23,4,0,72.856,8.27,238.611,213.647
1,12,17,0,0,3,0,0,3,0,0
1,12,18,0,0,3,0,0,3,0,0
1,12,19,0,0,2,0,0,2,0,0
1,12,20,0,0,2,1,0,2,0,0
1,12,21,0,0,1,1,0,1,0,0
1,12,22,0,0,0,1,0,0,0,0
1,12,23,0,0,0,1,0,0,0,0
1,13,0,0,0,0,1,0,0,0,0
1,13,1,0,0,0,1,0,0,0,0
1,13,2,0,0,0,1,0,0,0,0
1,13,3,0,0,0,1,0,0,0,0
1,13,4,0,0,0,1,0,0,0,0
1,13,5,0,0,0,1,0,0,0,0
1,13,6,0,0,-1,1,0,-1,0,0
1,13,7,0,0,0,1,0,0,0,0
1,13,8,164,64,2,2,141.467,3.994,507.691,476.954
1,13,9,482,92,4,2,382.263,14.43,1341.131,1288.244
1,13,10,818,77,6,3,652.54,23.525,2226.928,2143.421
1,13,11,438,168,7,3,532.39,22.227,1843.156,1773.811
1,13,12,596,132,7,3,618.146,24.112,2120.288,2040.853
1,13,13,498,140,6,3,523.594,20.889,1818.252,1749.778
1,13,14,60,141,5,2,186.464,11.2,678.58,643.828
1,13,15,0,46,4,2,43.654,3.826,164.961,141.461
1,13,16,168,26,3,2,83.117,3.328,277.56,251.803
1,13,17,0,0,3,1,0,3,0,0
1,13,18,0,0,2,1,0,2,0,0
1,13,19,0,0,1,1,0,1,0,0
1,13,20,0,0,0,2,0,0,0,0
1,13,21,0,0,0,2,0,0,0,0
1,13,22,0,0,0,2,0,0,0,0
1,13,23,0,0,0,1,0,0,0,0
1,14,0,0,0,0,1,0,0,0,0
1,14,1,0,0,0,1,0,0,0,0
1,14,2,0,0,1,1,0,1,0,0
1,14,3,0,0,1,1,0,1,0,0
1,14,4,0,0,0,1,0,0,0,0
1,14,5,0,0,0,1,0,0,0,0
1,14,6,0,0,0,1,0,0,0,0
1,14,7,0,0,0,1,0,0,0,0
1,14,8,0,48,1,1,46.604,-0.513,179.372,155.59
1,14,9,0,74,2,1,71.141,1.875,271.071,245.447
1,14,10,0,102,3,1,98.757,4.197,372.592,344.838
1,14,11,0,143,3,1,140.977,6.087,527.578,496.388
1,14,12,0,89,3,2,84.877,3.918,320.607,293.956
1,14,13,0,37,3,2,35.098,1.974,133.679,110.784
1,14,14,0,101,3,1,98.928,3.904,373.707,345.93
1,14,15,0,42,2,1,39.844,1.087,152.326,129.072
1,14,16,0,8,1,1,7.567,-1.728,29.273,8.335
1,14,17,0,0,1,1,0,1,0,0
1,14,18,0,0,1,1,0,1,0,0
1,14,19,0,0,0,2,0,0,0,0
1,14,20,0,0,0,2,0,0,0,0
1,14,21,0,0,0,2,0,0,0,0
1,14,22,0,0,0,2,0,0,0,0
1,14,23,0,0,0,2,0,0,0,0
1,15,0,0,0,0,2,0,0,0,0
1,15,1,0,0,0,2,0,0,0,0
1,15,2,0,0,-1,2,0,-1,0,0
1,15,3,0,0,-1,1,0,-1,0,0
1,15,4,0,0,-2,1,0,-2,0,0
1,15,5,0,0,-3,1,0,-3,0,0
1,15,6,0,0,-3,1,0,-3,0,0
1,15,7,0,0,-2,2,0,-2,0,0
1,15,8,460,60,0,2,255.762,5.709,885.11,845.143
1,15,9,646,89,0,3,472.963,12.258,1671.989,1608.518
1,15,10,286,169,1,3,391.534,11.808,1417.724,1362.477
1,15,11,168,219,2,3,372.393,11.939,1354.341,1301.051
1,15,12,208,213,1,3,396.576,11.558,1444.413,1388.331
1,15,13,0,146,1,3,144.978,4.531,546.195,514.578
1,15,14,23,139,0,2,154.54,3.209,584.046,551.549
1,15,15,224,84,0,2,200.574,4.754,726.046,690.131
1,15,16,129,31,0,2,75.417,0.922,259.755,234.363
1,15,17,0,0,0,3,0,0,0,0
